기준일,시간대구분,구분,총생활인구수
20240120,5,중랑구,380587.2093
20240120,5,성북구,440031.1252
20240120,5,강북구,298492.6929
20240120,5,도봉구,285388.3512
20240120,5,노원구,518592.6011
20240120,5,은평구,474745.3362
20240120,5,서대문구,347851.4921
20240120,5,마포구,417461.3064
20240120,5,양천구,392666.0894
20240120,5,강서구,561955.4608
20240120,5,구로구,391762.9517
20240120,5,금천구,205244.133
20240120,5,영등포구,425499.3941
20240120,5,동작구,393129.4798
20240120,5,관악구,506130.0055
20240120,5,서초구,472715.9818
20240120,5,강남구,667099.9146
20240120,5,송파구,749695.1995
20240120,5,강동구,546366.2283
20240120,6,종로구,205728.5215
20240120,6,중구,168817.5728
20240120,6,용산구,262688.749
20240120,6,성동구,331568.1434
20240120,6,광진구,373214.0139
20240120,6,동대문구,351699.0248
20240120,6,중랑구,377018.5296
20240120,6,성북구,437231.8638
20240120,6,강북구,294685.649
20240120,6,도봉구,282972.112
20240120,6,노원구,515249.6771
20240120,6,은평구,470821.3736
20240120,6,서대문구,347461.9661
20240120,6,마포구,415872.8767
20240120,6,양천구,389360.4653
20240120,6,강서구,563414.1278
20240120,6,구로구,387283.7183
20240120,6,금천구,205122.3028
20240120,6,영등포구,425339.5363
20240120,6,동작구,391629.0794
20240120,6,관악구,499952.5947
20240120,6,서초구,483733.2049
20240120,6,강남구,676867.3479
20240120,6,송파구,753016.453
20240120,6,강동구,545938.853
20240120,7,종로구,210297.3921
20240120,7,중구,176899.0426
20240120,7,용산구,266142.7354
20240120,7,성동구,330715.3165
20240120,7,광진구,369391.6177
20240120,7,동대문구,351353.1887
20240120,7,중랑구,372057.2371
20240120,7,성북구,432687.7558
20240120,7,강북구,291634.8324
20240120,7,도봉구,280159.3369
20240120,7,노원구,510637.0035
20240120,7,은평구,463499.0036
20240120,7,서대문구,346500.1696
20240120,7,마포구,416321.3589
20240120,7,양천구,386371.8128
20240120,7,강서구,557574.5332
20240120,7,구로구,384478.2655
20240120,7,금천구,204913.9195
20240120,7,영등포구,428153.5361
20240120,7,동작구,387095.4192
20240120,7,관악구,492974.3888
20240120,7,서초구,491986.5285
20240120,7,강남구,689730.9461
20240120,7,송파구,749895.2848
20240120,7,강동구,539944.3748
20240120,8,종로구,219041.0085
20240120,8,중구,191221.1871
20240120,8,용산구,269059.1307
20240120,8,성동구,333273.3871
20240120,8,광진구,365502.4101
20240120,8,동대문구,350411.5112
20240120,8,중랑구,364918.8566
20240120,8,성북구,426345.6608
20240120,8,강북구,286889.3147
20240120,8,도봉구,276114.0251
